2021-01-30 20:50:49 [scrapy.utils.log] INFO: Scrapy 2.4.1 started (bot: school_scraper)
2021-01-30 20:50:49 [scrapy.utils.log] INFO: Versions: lxml 4.6.2.0, libxml2 2.9.10, cssselect 1.1.0, parsel 1.6.0, w3lib 1.22.0, Twisted 20.3.0, Python 3.9.1 (default, Dec  8 2020, 07:51:42) - [GCC 10.2.0], pyOpenSSL 20.0.1 (OpenSSL 1.1.1i  8 Dec 2020), cryptography 3.3.1, Platform Linux-4.19.128-microsoft-standard-x86_64-with-glibc2.31
2021-01-30 20:50:49 [scrapy.utils.log] DEBUG: Using reactor: twisted.internet.epollreactor.EPollReactor
2021-01-30 20:50:49 [scrapy.crawler] INFO: Overridden settings:
{'BOT_NAME': 'school_scraper',
 'LOG_FILE': 'logs/school_scraper/get_kv/ba8dd218630e11eb9aca00155d31b08e.log',
 'NEWSPIDER_MODULE': 'school_scraper.spiders',
 'SPIDER_MODULES': ['school_scraper.spiders']}
2021-01-30 20:50:49 [scrapy.extensions.telnet] INFO: Telnet Password: c3e4bef1d675cc6e
2021-01-30 20:50:49 [scrapy.middleware] INFO: Enabled extensions:
['scrapy.extensions.corestats.CoreStats',
 'scrapy.extensions.telnet.TelnetConsole',
 'scrapy.extensions.memusage.MemoryUsage',
 'scrapy.extensions.logstats.LogStats']
2021-01-30 20:50:49 [scrapy.middleware] INFO: Enabled downloader middlewares:
['scrapy.downloadermiddlewares.httpauth.HttpAuthMiddleware',
 'scrapy.downloadermiddlewares.downloadtimeout.DownloadTimeoutMiddleware',
 'scrapy.downloadermiddlewares.defaultheaders.DefaultHeadersMiddleware',
 'scrapy.downloadermiddlewares.useragent.UserAgentMiddleware',
 'scrapy.downloadermiddlewares.retry.RetryMiddleware',
 'scrapy.downloadermiddlewares.redirect.MetaRefreshMiddleware',
 'scrapy.downloadermiddlewares.httpcompression.HttpCompressionMiddleware',
 'scrapy.downloadermiddlewares.redirect.RedirectMiddleware',
 'scrapy.downloadermiddlewares.cookies.CookiesMiddleware',
 'scrapy.downloadermiddlewares.httpproxy.HttpProxyMiddleware',
 'scrapy.downloadermiddlewares.stats.DownloaderStats']
2021-01-30 20:50:49 [scrapy.middleware] INFO: Enabled spider middlewares:
['scrapy.spidermiddlewares.httperror.HttpErrorMiddleware',
 'scrapy.spidermiddlewares.offsite.OffsiteMiddleware',
 'scrapy.spidermiddlewares.referer.RefererMiddleware',
 'scrapy.spidermiddlewares.urllength.UrlLengthMiddleware',
 'scrapy.spidermiddlewares.depth.DepthMiddleware']
2021-01-30 20:50:49 [scrapy.middleware] INFO: Enabled item pipelines:
[]
2021-01-30 20:50:49 [scrapy.core.engine] INFO: Spider opened
2021-01-30 20:50:49 [scrapy.extensions.logstats] INFO: Crawled 0 pages (at 0 pages/min), scraped 0 items (at 0 items/min)
2021-01-30 20:50:49 [scrapy.extensions.telnet] INFO: Telnet console listening on 127.0.0.1:6024
2021-01-30 20:50:52 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no1bhubaneswar.kvs.ac.in/> (referer: None)
2021-01-30 20:50:52 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no3bhubaneswar.kvs.ac.in/> (referer: None)
2021-01-30 20:50:52 [scrapy.dupefilters] DEBUG: Filtered duplicate request: <GET https://no1bhubaneswar.kvs.ac.in/about-us/principal-message> - no more duplicates will be shown (see DUPEFILTER_DEBUG to show all duplicates)
2021-01-30 20:50:52 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no6bhubaneswar.kvs.ac.in/> (referer: None)
2021-01-30 20:50:54 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no2bhubaneswar.kvs.ac.in/> (referer: None)
2021-01-30 20:50:54 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no1bhubaneswar.kvs.ac.in/administration/teacher-vacancy> (referer: https://no1bhubaneswar.kvs.ac.in/)
2021-01-30 20:50:55 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no1bhubaneswar.kvs.ac.in/administration/rti-apio> (referer: https://no1bhubaneswar.kvs.ac.in/)
2021-01-30 20:50:56 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no4bhubaneswar.kvs.ac.in/> (referer: None)
2021-01-30 20:50:57 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no1bhubaneswar.kvs.ac.in/user/login> (referer: https://no1bhubaneswar.kvs.ac.in/)
2021-01-30 20:50:58 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no1bhubaneswar.kvs.ac.in/administration/staff-member> (referer: https://no1bhubaneswar.kvs.ac.in/)
2021-01-30 20:50:58 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no1bhubaneswar.kvs.ac.in/academics/results-analysis> (referer: https://no1bhubaneswar.kvs.ac.in/)
2021-01-30 20:50:59 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no1bhubaneswar.kvs.ac.in/administration/committees> (referer: https://no1bhubaneswar.kvs.ac.in/)
2021-01-30 20:50:59 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no3bhubaneswar.kvs.ac.in/feedback-form> (referer: https://no3bhubaneswar.kvs.ac.in/)
2021-01-30 20:50:59 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no1bhubaneswar.kvs.ac.in/administration/monthly-salary> (referer: https://no1bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:00 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no2bhubaneswar.kvs.ac.in/terms-conditions-1086> (referer: https://no2bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:01 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no2bhubaneswar.kvs.ac.in/feedback-form> (referer: https://no2bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:01 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no4bhubaneswar.kvs.ac.in/privacy-policy-3> (referer: https://no4bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:01 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no2bhubaneswar.kvs.ac.in/privacy-policy-3> (referer: https://no2bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:01 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no1bhubaneswar.kvs.ac.in/academics/fees-structure> (referer: https://no1bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:02 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no4bhubaneswar.kvs.ac.in/hyperlink-policy-0> (referer: https://no4bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:02 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no1bhubaneswar.kvs.ac.in/academics/admission-detail> (referer: https://no1bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:02 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no4bhubaneswar.kvs.ac.in/disclaimer-4> (referer: https://no4bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:03 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no1bhubaneswar.kvs.ac.in/administration/vmc-member> (referer: https://no1bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:03 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no4bhubaneswar.kvs.ac.in/terms-conditions-1086> (referer: https://no4bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:03 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no5bhubaneswar.kvs.ac.in/> (referer: None)
2021-01-30 20:51:03 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no4bhubaneswar.kvs.ac.in/grievance> (referer: https://no4bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:04 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no4bhubaneswar.kvs.ac.in/school-initiatives-students/miscellaneous> (referer: https://no4bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:04 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no4bhubaneswar.kvs.ac.in/school-initiatives-students/promotion-language> (referer: https://no4bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:04 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no6bhubaneswar.kvs.ac.in/feedback-form> (referer: https://no6bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:04 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no4bhubaneswar.kvs.ac.in/feedback-form> (referer: https://no4bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:06 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no4bhubaneswar.kvs.ac.in/school-initiatives-students/pustakophaar> (referer: https://no4bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:06 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no1bhubaneswar.kvs.ac.in/academics/student-achiever> (referer: https://no1bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:07 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no1bhubaneswar.kvs.ac.in/academics/teacher-achievement> (referer: https://no1bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:07 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no4bhubaneswar.kvs.ac.in/school-initiatives-students/learning-fun> (referer: https://no4bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:09 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no5bhubaneswar.kvs.ac.in/privacy-policy-3> (referer: https://no5bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:09 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no4bhubaneswar.kvs.ac.in/school-academic-activities/youth-parliament> (referer: https://no4bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:09 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no4bhubaneswar.kvs.ac.in/school-initiatives-students/gender-sensitization> (referer: https://no4bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:10 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no4bhubaneswar.kvs.ac.in/school-initiatives-students/student-empowerment-programme> (referer: https://no4bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:11 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no5bhubaneswar.kvs.ac.in/feedback-form> (referer: https://no5bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:11 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no5bhubaneswar.kvs.ac.in/school-tender> (referer: https://no5bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:11 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no4bhubaneswar.kvs.ac.in/school-initiatives-students/helpdesk> (referer: https://no4bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:11 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no4bhubaneswar.kvs.ac.in/school-tender> (referer: https://no4bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:12 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no4bhubaneswar.kvs.ac.in/school-initiatives-students/scientist-making> (referer: https://no4bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:12 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no5bhubaneswar.kvs.ac.in/hyperlink-policy-0> (referer: https://no5bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:14 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no5bhubaneswar.kvs.ac.in/school-initiatives-students/pustakophaar> (referer: https://no5bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:15 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no5bhubaneswar.kvs.ac.in/school-initiatives-students/promotion-language> (referer: https://no5bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:17 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no5bhubaneswar.kvs.ac.in/disclaimer-4> (referer: https://no5bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:18 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no5bhubaneswar.kvs.ac.in/school-initiatives-students/helpdesk> (referer: https://no5bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:19 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no5bhubaneswar.kvs.ac.in/school-initiatives-students/student-empowerment-programme> (referer: https://no5bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:19 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no4bhubaneswar.kvs.ac.in/school-academic-activities/art-culture> (referer: https://no4bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:22 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no5bhubaneswar.kvs.ac.in/school-initiatives-students/celebrationsall> (referer: https://no5bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:23 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no5bhubaneswar.kvs.ac.in/terms-conditions-1086> (referer: https://no5bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:24 [scrapy.downloadermiddlewares.retry] DEBUG: Retrying <GET https://no5bhubaneswar.kvs.ac.in/school-initiatives-students/miscellaneous> (failed 1 times): 408 Request Time-out
2021-01-30 20:51:25 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no5bhubaneswar.kvs.ac.in/school-initiatives-students/learning-fun> (referer: https://no5bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:26 [scrapy.downloadermiddlewares.retry] DEBUG: Retrying <GET https://no4bhubaneswar.kvs.ac.in/school-initiatives-students/celebrationsall> (failed 1 times): 408 Request Time-out
2021-01-30 20:51:27 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no5bhubaneswar.kvs.ac.in/school-academic-activities/students-council> (referer: https://no5bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:28 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no5bhubaneswar.kvs.ac.in/school-academic-activities/education-incursion> (referer: https://no5bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:29 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no5bhubaneswar.kvs.ac.in/school-initiatives-students/scientist-making> (referer: https://no5bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:30 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no5bhubaneswar.kvs.ac.in/grievance> (referer: https://no5bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:31 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no5bhubaneswar.kvs.ac.in/school-academic-activities/co-curricular-activities> (referer: https://no5bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:34 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no5bhubaneswar.kvs.ac.in/school-academic-activities/art-culture> (referer: https://no5bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:34 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no5bhubaneswar.kvs.ac.in/school-academic-activities/youth-parliament> (referer: https://no5bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:34 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no5bhubaneswar.kvs.ac.in/school-academic-activities/vidyalaya-patrikanewsletter> (referer: https://no5bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:36 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no5bhubaneswar.kvs.ac.in/school-academic-activities/scout-guide-ncc> (referer: https://no5bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:42 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no5bhubaneswar.kvs.ac.in/school-strengthening-vidyalayas/infrastructure> (referer: https://no5bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:43 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no5bhubaneswar.kvs.ac.in/school-strengthening-vidyalayas/library-e-granthalaya> (referer: https://no5bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:44 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no5bhubaneswar.kvs.ac.in/school-strengthening-vidyalayas/bala-initiatives> (referer: https://no5bhubaneswar.kvs.ac.in/)
2021-01-30 20:51:44 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no5bhubaneswar.kvs.ac.in/school-strengthening-vidyalayas/harit-vidyalayaswachh-vidyalaya> (referer: https://no5bhubaneswar.kvs.ac.in/)
